"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
208,36,18.6876,41.1873,1.25963,38686.17253,897.79179,210.27438,0.0527
209,36,30.01806,24.26786,1.33685,24086.7181,773.77556,102.67401,0.05291
210,36,39.81745,24.76675,1.11358,5574.5353,738.74124,90.40202,0.1447
211,36,49.23635,26.30247,1.29492,10436.72078,733.35292,88.8467,0.1019
212,37,15.78938,47.03415,1.32751,55498.25111,880.01023,141.39229,0.02954
213,37,19.84723,39.27842,1.22107,22094.68797,972.29048,218.42642,0.08942
214,37,23.09349,32.25749,1.20159,50477.29507,927.12125,196.00756,0.03502
215,37,29.34964,20.38943,1.76966,50786.84582,924.24502,276.39108,0.09779
216,37,49.16696,26.42225,1.26675,46568.68147,796.57993,129.68677,0.03006
217,38,15.80488,46.97633,1.3475,40923.7249,788.9909,135.92306,0.03961
218,38,23.21519,32.25778,1.1688,6085.78105,751.82829,86.85257,0.14097
219,38,29.59886,19.75224,1.33927,38683.84389,955.37711,153.03912,0.04544
220,38,35.19649,8.73415,2.94798,34555.23954,880.01136,150.22742,0.23036
221,38,49.25868,26.43688,1.18888,45209.45754,826.9537,126.90021,0.02709
222,39,16.23976,46.39946,2.434,33944.85053,799.4379,151.24646,0.16175
223,39,23.9293,30.86438,1.23556,10403.02535,796.1631,118.96011,0.1167
224,39,28.74397,20.79831,2.30564,72427.2825,811.88219,464.25269,0.18506
225,39,49.0954,26.31597,1.24244,24685.13723,740.27083,94.72196,0.04254
226,40,15.06565,49.49227,3.69193,41057.79552,653.08416,112.66871,0.24008
227,40,23.16931,32.25179,1.22056,12277.23002,743.12813,93.49165,0.08069
228,40,29.68125,19.82589,1.40597,22684.23456,812.16401,95.05518,0.05827
229,40,50.55674,26.41539,1.47722,52030.79318,836.7651,132.19697,0.03643
230,41,16.90622,45.70679,1.9538,12077.34443,756.59259,94.26687,0.20257
231,41,23.83698,30.92322,1.21059,25068.29941,801.97757,100.63526,0.04174
232,41,32.842,24.26345,1.31984,45200.68387,930.67967,175.71376,0.04246
233,41,34.57685,14.43982,2.64703,68016.36428,961.7864,223.55735,0.13318
234,41,50.80624,26.50576,1.68471,105269.14693,933.87028,291.37022,0.04524
235,42,16.72277,45.61339,2.81902,37776.92479,803.32534,143.39771,0.18576
236,42,23.8969,31.01182,1.24575,55217.56598,850.8868,134.51411,0.02543
237,42,34.32207,15.77537,2.50812,68086.59147,849.12526,209.68495,0.1132
238,42,34.00552,24.20451,1.35116,13811.95318,920.29388,162.50736,0.13427
239,42,50.86481,26.67723,1.74059,78914.78293,826.31127,309.89195,0.06772
240,43,4.97424,12.72235,2.21745,12251.97078,717.49662,87.75359,0.24237
241,43,16.54548,46.50919,3.11567,73716.21793,802.58216,177.84656,0.13921
242,43,23.93905,30.84902,1.32182,60319.46134,906.68119,193.67052,0.03478
243,43,34.11877,24.38719,1.3719,71588.45863,1026.43595,220.6428,0.03517
244,43,35.09559,14.70151,2.20498,28150.13675,827.00247,132.69166,0.14432
245,43,40.7172,24.81051,1.16707,16223.84037,987.83104,262.84454,0.13137
246,43,50.48476,26.57498,1.64204,76679.86353,893.83047,326.98971,0.06535
247,44,6.10478,16.2291,1.95101,9990.22126,742.13333,91.58985,0.23873
248,44,15.30365,53.88618,3.68412,78110.52439,761.45297,157.08722,0.16488
249,44,15.47769,50.78905,6.29496,386917.59579,206.46127,174.76304,0.10618
250,44,17.59667,42.75673,1.78873,70091.85547,1068.85139,257.23587,0.06803
251,44,24.87741,28.98635,1.79839,87708.0559,885.47396,509.351,0.10259
